label,tweet
real,ปัจจุบัน CDC รายงาน ถึง 99031 ผู้เสียชีวิต โดยทั่วไป ความคลาดเคลื่อน ใน ความตาย จะ นับ ระหว่าง แหล่ง ที่ แตก ต่างกัน มี ขนาดเล็ก และ สามารถ อธิบาย ได้ ผู้เสียชีวิต เสียชีวิต อยู่ ที่ ประมาณ 100000 คนใน วันนี้
real,รัฐ รายงาน 1121 ผู้เสียชีวิต เพิ่มขึ้น เล็กน้อย จาก วัน อังคาร ที่ผ่านมา รัฐ ภาคใต้ รายงาน ว่า 640 คน เสียชีวิต
fake,ผู้หญิง ที่ ถูกต้อง ทางการเมือง ( เกือบ ) ใช้การ ระบาด ประกัน เป็น ข้อแก้ตัว ที่จะ ไม่ นำ ถุงพลาสติก มา ใช้ ซ้ำ
real,# IndiaFightScorona : เรา มี ห้องปฏิบัติการ ทดสอบ 1524 # Covid ใน อินเดีย และ เมื่อ วันที่ 25 สิงหาคม 2020 36827520 การ ทดสอบ ได้ ทำ : @ profbhargava dg @ icmrdelhi # staysafe # indiawillwin
real,รัฐ ที่ มี ประชากร สามารถ สร้าง เคส ขนาดใหญ่ แต่ ถ้า คุณ ดู กรณี ใหม่ ต่อ ล้าน วันนี้ 9 รัฐ ที่ มี ขนาดเล็ก จะ แสดง กรณี ต่อ ล้าน มากกว่า แคลิฟอร์เนีย หรือ เท็กซัส : Al AR ID KS KY LA MS NV และ SC
real,Covid Act ตอนนี้ พบ ว่า " โดยเฉลี่ย แต่ละ คนใน รัฐ อิลลินอยส์ กับ Covid- 19 กำลัง ติดเชื้อ 1.11 คน ข้อมูล แสดงให้เห็น ว่า อัตรา การ เติบโต ของ การ ติดเชื้อ ลดลง เมื่อ เวลา ผ่าน ไป ปัจจัย นี้ ใน การสั่งซื้อ การ เข้า พัก ที่ บ้าน และ ข้อ จำกัด อื่น ๆ ที่ วาง ไว้ ใน สถานที่ "
real,หาก คุณ ทดสอบ เป็น บวก สำหรับ # Covid 19 และ ไม่ มี อาการ อยู่ บ้าน และ อยู่ ห่าง จาก คนอื่น เรียนรู้ เพิ่มเติม เกี่ยวกับ คำแนะนำ ของ CDC เกี่ยวกับ เมื่อ คุณ สามารถ อยู่ ใกล้ ๆ ได้ หลังจาก การ ติดเชื้อ Covid- 19 :
fake,โอบามา เรียก Coronavirus ของ ทรัมป์ ตอบสนอง ความหายนะ ที่ วุ่นวาย
fake,ชัดเจน ว่า การบริหาร โอบามา ไม่ ได้ ออกจาก แผน เกม ใด ๆ สำหรับ สิ่ง นี้ ???
fake,Retraintion-Hydroxychloroquine หรือ Chloroquine ที่ มี หรือไม่ มี macrolide สำหรับ การรักษา Covid- 19 : การ วิเคราะห์ รี จิ สท รี ข้ามชาติ - Lancet
